dataset,class,k_shot,seed,corruption,source_mode,source_dataset,method,alpha,selected_p_threshold,source_validation_far,source_validation_count,false_alarm_rate,power,alarm_precision,coverage_gap,auroc,ap
mvtec,bottle,2,0,blur,matched_condition,mvtec,source_validated_pool,0.1,0.09523809523809523,0.09843400447427293,447,0.0,0.4603174603174603,1.0,-0.1,0.9873015873015873,0.9959293679688401
mvtec,bottle,2,0,blur,matched_condition,mvtec,source_validated_pool,0.2,0.18382352941176472,0.19910514541387025,447,0.0,0.8412698412698413,1.0,-0.2,0.9873015873015873,0.9959293679688401
mvtec,bottle,2,0,brightness_contrast,matched_condition,mvtec,source_validated_pool,0.05,0.04358974358974359,0.049217002237136466,447,0.0,0.1746031746031746,1.0,-0.05,0.9876984126984126,0.9962100791780715
mvtec,bottle,2,0,brightness_contrast,matched_condition,mvtec,source_validated_pool,0.1,0.08530805687203792,0.09843400447427293,447,0.0,0.42857142857142855,1.0,-0.1,0.9876984126984126,0.9962100791780715
mvtec,bottle,2,0,brightness_contrast,matched_condition,mvtec,source_validated_pool,0.2,0.18823529411764706,0.19910514541387025,447,0.0,0.8412698412698413,1.0,-0.2,0.9876984126984126,0.9962100791780715
mvtec,bottle,2,0,clean,matched_condition,mvtec,source_validated_pool,0.05,0.04047619047619048,0.049217002237136466,447,0.0,0.1111111111111111,1.0,-0.05,0.9857142857142857,0.9957262449339914
mvtec,bottle,2,0,clean,matched_condition,mvtec,source_validated_pool,0.1,0.09487179487179487,0.09843400447427293,447,0.0,0.4603174603174603,1.0,-0.1,0.9857142857142857,0.9957262449339914
mvtec,bottle,2,0,clean,matched_condition,mvtec,source_validated_pool,0.2,0.1966824644549763,0.19910514541387025,447,0.0,0.8888888888888888,1.0,-0.2,0.9857142857142857,0.9957262449339914
mvtec,bottle,2,0,gaussian_noise,matched_condition,mvtec,source_validated_pool,0.05,0.007211538461538462,0.04697986577181208,447,0.0,0.015873015873015872,1.0,-0.05,0.4722222222222222,0.7840011289759836
mvtec,bottle,2,0,gaussian_noise,matched_condition,mvtec,source_validated_pool,0.1,0.0963855421686747,0.09395973154362416,447,0.0,0.031746031746031744,1.0,-0.1,0.4722222222222222,0.7840011289759836
mvtec,bottle,2,0,gaussian_noise,matched_condition,mvtec,source_validated_pool,0.2,0.18072289156626506,0.19910514541387025,447,1.0,1.0,0.7590361445783133,0.8,0.4722222222222222,0.7840011289759836
mvtec,bottle,2,0,jpeg,matched_condition,mvtec,source_validated_pool,0.05,0.04381443298969072,0.049217002237136466,447,0.0,0.12698412698412698,1.0,-0.05,0.5603174603174603,0.8372913840936567
mvtec,bottle,2,0,jpeg,matched_condition,mvtec,source_validated_pool,0.1,0.08333333333333333,0.09843400447427293,447,0.6,0.6190476190476191,0.7647058823529411,0.5,0.5603174603174603,0.8372913840936567
mvtec,bottle,2,0,jpeg,matched_condition,mvtec,source_validated_pool,0.2,0.1895734597156398,0.19910514541387025,447,1.0,1.0,0.7590361445783133,0.8,0.5603174603174603,0.8372913840936567
mvtec,bottle,2,1,blur,matched_condition,mvtec,source_validated_pool,0.05,0.04411764705882353,0.049217002237136466,447,0.1,0.9841269841269841,0.96875,0.05,0.9888888888888889,0.9956953038767814
mvtec,bottle,2,1,blur,matched_condition,mvtec,source_validated_pool,0.1,0.08353808353808354,0.09843400447427293,447,0.15,0.9841269841269841,0.9538461538461539,0.04999999999999999,0.9888888888888889,0.9956953038767814
mvtec,bottle,2,1,blur,matched_condition,mvtec,source_validated_pool,0.2,0.19014084507042253,0.19910514541387025,447,0.4,1.0,0.8873239436619719,0.2,0.9888888888888889,0.9956953038767814
mvtec,bottle,2,1,brightness_contrast,matched_condition,mvtec,source_validated_pool,0.05,0.04668304668304668,0.049217002237136466,447,0.15,0.9841269841269841,0.9538461538461539,0.09999999999999999,0.9873015873015873,0.9954934423112685
mvtec,bottle,2,1,brightness_contrast,matched_condition,mvtec,source_validated_pool,0.1,0.08624708624708624,0.09843400447427293,447,0.2,1.0,0.9402985074626866,0.1,0.9873015873015873,0.9954934423112685
mvtec,bottle,2,1,brightness_contrast,matched_condition,mvtec,source_validated_pool,0.2,0.1895734597156398,0.19910514541387025,447,0.35,1.0,0.9,0.14999999999999997,0.9873015873015873,0.9954934423112685
mvtec,bottle,2,1,clean,matched_condition,mvtec,source_validated_pool,0.05,0.047619047619047616,0.049217002237136466,447,0.15,0.9841269841269841,0.9538461538461539,0.09999999999999999,0.986904761904762,0.9952036162832528
mvtec,bottle,2,1,clean,matched_condition,mvtec,source_validated_pool,0.1,0.08353808353808354,0.09619686800894854,447,0.15,0.9841269841269841,0.9538461538461539,0.04999999999999999,0.986904761904762,0.9952036162832528
mvtec,bottle,2,1,clean,matched_condition,mvtec,source_validated_pool,0.2,0.18333333333333332,0.19910514541387025,447,0.35,1.0,0.9,0.14999999999999997,0.986904761904762,0.9952036162832528
mvtec,bottle,2,1,gaussian_noise,matched_condition,mvtec,source_validated_pool,0.05,0.03981264637002342,0.049217002237136466,447,1.0,1.0,0.7590361445783133,0.95,0.6571428571428571,0.830136874026719
mvtec,bottle,2,1,gaussian_noise,matched_condition,mvtec,source_validated_pool,0.1,0.07459207459207459,0.08501118568232663,447,1.0,1.0,0.7590361445783133,0.9,0.6571428571428571,0.830136874026719
mvtec,bottle,2,1,gaussian_noise,matched_condition,mvtec,source_validated_pool,0.2,0.19347319347319347,0.19910514541387025,447,1.0,1.0,0.7590361445783133,0.8,0.6571428571428571,0.830136874026719
mvtec,bottle,2,1,jpeg,matched_condition,mvtec,source_validated_pool,0.05,0.035545023696682464,0.042505592841163314,447,1.0,1.0,0.7590361445783133,0.95,0.47619047619047616,0.7504302925989672
