dataset,class,k_shot,seed,support_calibration_mode,support_cal_median,support_cal_mad,support_cal_q25,support_cal_q75,support_cal_mean,support_cal_std,support_cal_count
mvtec,carpet,2,1,loio_conformal,10.029624462127686,0.7665228843688965,9.646363019943237,10.412885904312134,10.029624462127686,0.7665228843688965,2
mvtec,carpet,2,2,loio_conformal,11.701691150665283,0.03661298751831055,11.683384656906128,11.719997644424438,11.701691150665283,0.03661298751831055,2
mvtec,carpet,2,3,loio_conformal,10.313100337982178,0.3275637626647949,10.14931845664978,10.476882219314575,10.313100337982178,0.3275637626647949,2
mvtec,carpet,2,4,loio_conformal,9.845829486846924,0.2819094657897949,9.704874753952026,9.986784219741821,9.845829486846924,0.2819094657897949,2
mvtec,carpet,4,0,loio_conformal,9.26581621170044,0.22740793228149414,9.136631488800049,9.552293062210083,9.423108339309692,0.5457709305897332,4
mvtec,carpet,4,1,loio_conformal,9.229530811309814,0.4009060859680176,8.943763732910156,9.554301500320435,9.268534421920776,0.5172566256223455,4
mvtec,carpet,4,2,loio_conformal,9.983143329620361,1.0589919090270996,9.249311447143555,11.384449005126953,10.650617122650146,2.2721764248533645,4
mvtec,carpet,4,3,loio_conformal,9.48580551147461,0.49870824813842773,9.000458478927612,10.173343658447266,9.687996625900269,0.7645538401960307,4
mvtec,carpet,4,4,loio_conformal,8.945788860321045,0.0979461669921875,8.86321473121643,9.04089903831482,8.958324909210205,0.11931739914514583,4
mvtec,carpet,8,0,loio_conformal,8.957193851470947,0.4447965621948242,8.535969018936157,9.477078437805176,9.092544853687286,0.7985217498205508,8
mvtec,carpet,8,1,loio_conformal,8.617962837219238,0.49190711975097656,8.169434547424316,8.993935346603394,8.706317722797394,0.7200047172305062,8
mvtec,carpet,8,2,loio_conformal,9.019175052642822,0.7759542465209961,8.533738374710083,9.758803129196167,9.466968953609467,1.5980459188342362,8
mvtec,carpet,8,3,loio_conformal,9.541044235229492,0.7210321426391602,9.033398866653442,10.761668920516968,10.058757305145264,1.327322102512275,8
mvtec,carpet,8,4,loio_conformal,8.77232551574707,0.17557430267333984,8.641747236251831,9.20313310623169,9.768709599971771,2.6169252959977927,8
mvtec,grid,1,0,patch_split_conformal,7.459354877471924,0.0,7.459354877471924,7.459354877471924,7.459354877471924,0.0,1
mvtec,grid,1,1,patch_split_conformal,8.399401664733887,0.0,8.399401664733887,8.399401664733887,8.399401664733887,0.0,1
mvtec,grid,1,2,patch_split_conformal,13.141959190368652,0.0,13.141959190368652,13.141959190368652,13.141959190368652,0.0,1
mvtec,grid,1,3,patch_split_conformal,6.014488220214844,0.0,6.014488220214844,6.014488220214844,6.014488220214844,0.0,1
mvtec,grid,1,4,patch_split_conformal,9.727981567382812,0.0,9.727981567382812,9.727981567382812,9.727981567382812,0.0,1
mvtec,grid,2,0,loio_conformal,30.800670623779297,1.183176040649414,30.20908260345459,31.392258644104004,30.800670623779297,1.183176040649414,2
mvtec,grid,2,1,loio_conformal,22.81381893157959,0.779017448425293,22.424310207366943,23.203327655792236,22.81381893157959,0.779017448425293,2
mvtec,grid,2,2,loio_conformal,22.30976390838623,1.6901559829711914,21.464685916900635,23.154841899871826,22.30976390838623,1.6901559829711914,2
mvtec,grid,2,3,loio_conformal,20.735021591186523,0.38251495361328125,20.543764114379883,20.926279067993164,20.735021591186523,0.38251495361328125,2
mvtec,grid,2,4,loio_conformal,20.20940113067627,0.045500755310058594,20.18665075302124,20.2321515083313,20.20940113067627,0.045500755310058594,2
mvtec,grid,4,0,loio_conformal,22.528255462646484,3.157740592956543,20.084113121032715,24.41190004348755,21.96775770187378,4.878873473903635,4
mvtec,grid,4,1,loio_conformal,19.2293643951416,2.5432825088500977,16.996958255767822,21.77517318725586,19.54276704788208,3.0221493910475785,4
mvtec,grid,4,2,loio_conformal,19.854897499084473,0.7457609176635742,19.13496208190918,20.78333854675293,20.063403129577637,1.010831695078861,4
mvtec,grid,4,3,loio_conformal,18.67438316345215,1.0358467102050781,17.425503730773926,19.493072509765625,18.244193077087402,1.7554759961298816,4
