dataset,source_dataset,source_mode,method,k_shot,corruption,alpha,selected_p_threshold_mean,selected_p_threshold_std,source_validation_far_mean,source_validation_far_std,false_alarm_rate_mean,false_alarm_rate_std,power_mean,power_std,alarm_precision_mean,alarm_precision_std,coverage_gap_mean,coverage_gap_std,auroc_mean,auroc_std,ap_mean,ap_std
visa,none,matched_condition,target_only,1,clean,0.1,0.1,0.0,,,0.0,0.0,0.0,0.0,,,-0.1,0.0,0.5045833333333333,0.020146882951349268,0.5303171229092418,0.03946213297140594
visa,none,matched_condition,target_only,1,clean,0.2,0.2,0.0,,,0.0,0.0,0.0,0.0,,,-0.2,0.0,0.5045833333333333,0.020146882951349268,0.5303171229092418,0.03946213297140594
visa,none,matched_condition,target_only,1,gaussian_noise,0.05,0.05,0.0,,,0.0,0.0,0.0,0.0,,,-0.05,0.0,0.5051388888888889,0.019412975611602473,0.5305755524685459,0.03907663549991403
visa,none,matched_condition,target_only,1,gaussian_noise,0.1,0.1,0.0,,,0.0,0.0,0.0,0.0,,,-0.1,0.0,0.5051388888888889,0.019412975611602473,0.5305755524685459,0.03907663549991403
visa,none,matched_condition,target_only,1,gaussian_noise,0.2,0.2,0.0,,,0.0,0.0,0.0,0.0,,,-0.2,0.0,0.5051388888888889,0.019412975611602473,0.5305755524685459,0.03907663549991403
visa,none,matched_condition,target_only,1,jpeg,0.05,0.05,0.0,,,0.0,0.0,0.0,0.0,,,-0.05,0.0,0.5040277777777777,0.01894657884602421,0.5300113590404906,0.03945251234258364
visa,none,matched_condition,target_only,1,jpeg,0.1,0.1,0.0,,,0.0,0.0,0.0,0.0,,,-0.1,0.0,0.5040277777777777,0.01894657884602421,0.5300113590404906,0.03945251234258364
visa,none,matched_condition,target_only,1,jpeg,0.2,0.2,0.0,,,0.0,0.0,0.0,0.0,,,-0.2,0.0,0.5040277777777777,0.01894657884602421,0.5300113590404906,0.03945251234258364
visa,none,matched_condition,target_only,2,blur,0.05,0.05,0.0,,,0.0,0.0,0.0,0.0,,,-0.05,0.0,0.7489327380952381,0.11292993081299979,0.7200325674409352,0.11278367743997657
visa,none,matched_condition,target_only,2,blur,0.1,0.1,0.0,,,0.0,0.0,0.0,0.0,,,-0.1,0.0,0.7489327380952381,0.11292993081299979,0.7200325674409352,0.11278367743997657
