dataset,class,k_shot,seed,support_calibration_mode,residual_index,loio_residual
visa,cashew,8,1,loio_conformal,2,15.292109489440918
visa,cashew,8,1,loio_conformal,3,18.02299690246582
visa,cashew,8,1,loio_conformal,4,16.28186798095703
visa,cashew,8,1,loio_conformal,5,14.965210914611816
visa,cashew,8,1,loio_conformal,6,14.757675170898438
visa,cashew,8,1,loio_conformal,7,16.82325553894043
visa,cashew,8,2,loio_conformal,0,18.14472007751465
visa,cashew,8,2,loio_conformal,1,14.410515785217285
visa,cashew,8,2,loio_conformal,2,14.249719619750977
visa,cashew,8,2,loio_conformal,3,16.28040885925293
visa,cashew,8,2,loio_conformal,4,19.254180908203125
visa,cashew,8,2,loio_conformal,5,15.744123458862305
visa,cashew,8,2,loio_conformal,6,14.251435279846191
visa,cashew,8,2,loio_conformal,7,14.195780754089355
visa,cashew,8,3,loio_conformal,0,16.132169723510742
visa,cashew,8,3,loio_conformal,1,18.399272918701172
visa,cashew,8,3,loio_conformal,2,16.199296951293945
visa,cashew,8,3,loio_conformal,3,14.555658340454102
visa,cashew,8,3,loio_conformal,4,16.042325973510742
visa,cashew,8,3,loio_conformal,5,15.58271312713623
visa,cashew,8,3,loio_conformal,6,15.415718078613281
visa,cashew,8,3,loio_conformal,7,14.96712589263916
visa,cashew,8,4,loio_conformal,0,15.256277084350586
visa,cashew,8,4,loio_conformal,1,15.802933692932129
visa,cashew,8,4,loio_conformal,2,16.292999267578125
visa,cashew,8,4,loio_conformal,3,17.21016502380371
visa,cashew,8,4,loio_conformal,4,14.01783561706543
visa,cashew,8,4,loio_conformal,5,14.699209213256836
visa,cashew,8,4,loio_conformal,6,14.505949020385742
visa,cashew,8,4,loio_conformal,7,16.640226364135742
visa,chewinggum,1,0,patch_split_conformal,0,11.526886940002441
visa,chewinggum,1,1,patch_split_conformal,0,15.72688102722168
visa,chewinggum,1,2,patch_split_conformal,0,11.334550857543945
visa,chewinggum,1,3,patch_split_conformal,0,13.571105003356934
visa,chewinggum,1,4,patch_split_conformal,0,11.759774208068848
visa,chewinggum,2,0,loio_conformal,0,20.064788818359375
visa,chewinggum,2,0,loio_conformal,1,20.216686248779297
visa,chewinggum,2,1,loio_conformal,0,18.89919662475586
visa,chewinggum,2,1,loio_conformal,1,16.947463989257812
visa,chewinggum,2,2,loio_conformal,0,15.715493202209473
visa,chewinggum,2,2,loio_conformal,1,15.549521446228027
visa,chewinggum,2,3,loio_conformal,0,14.687142372131348
visa,chewinggum,2,3,loio_conformal,1,17.283306121826172
visa,chewinggum,2,4,loio_conformal,0,17.39784049987793
visa,chewinggum,2,4,loio_conformal,1,18.923686981201172
visa,chewinggum,4,0,loio_conformal,0,18.033376693725586
visa,chewinggum,4,0,loio_conformal,1,15.862610816955566
visa,chewinggum,4,0,loio_conformal,2,16.045167922973633
visa,chewinggum,4,0,loio_conformal,3,21.068185806274414
visa,chewinggum,4,1,loio_conformal,0,16.996816635131836
visa,chewinggum,4,1,loio_conformal,1,15.744390487670898
visa,chewinggum,4,1,loio_conformal,2,16.7808780670166
visa,chewinggum,4,1,loio_conformal,3,17.20854377746582
visa,chewinggum,4,2,loio_conformal,0,14.311205863952637
visa,chewinggum,4,2,loio_conformal,1,20.631542205810547
visa,chewinggum,4,2,loio_conformal,2,16.998628616333008
visa,chewinggum,4,2,loio_conformal,3,13.758352279663086
visa,chewinggum,4,3,loio_conformal,0,15.763192176818848
visa,chewinggum,4,3,loio_conformal,1,13.169700622558594
visa,chewinggum,4,3,loio_conformal,2,14.184974670410156
visa,chewinggum,4,3,loio_conformal,3,13.242325782775879
visa,chewinggum,4,4,loio_conformal,0,15.286970138549805
visa,chewinggum,4,4,loio_conformal,1,17.924928665161133
visa,chewinggum,4,4,loio_conformal,2,15.06189250946045
visa,chewinggum,4,4,loio_conformal,3,18.512950897216797
visa,chewinggum,8,0,loio_conformal,0,16.589073181152344
visa,chewinggum,8,0,loio_conformal,1,15.022256851196289
visa,chewinggum,8,0,loio_conformal,2,14.195920944213867
visa,chewinggum,8,0,loio_conformal,3,14.818188667297363
visa,chewinggum,8,0,loio_conformal,4,15.954107284545898
visa,chewinggum,8,0,loio_conformal,5,17.484678268432617
visa,chewinggum,8,0,loio_conformal,6,19.1367244720459
visa,chewinggum,8,0,loio_conformal,7,15.339418411254883
visa,chewinggum,8,1,loio_conformal,0,15.373701095581055
visa,chewinggum,8,1,loio_conformal,1,15.490050315856934
visa,chewinggum,8,1,loio_conformal,2,13.97449779510498
visa,chewinggum,8,1,loio_conformal,3,15.33576488494873
visa,chewinggum,8,1,loio_conformal,4,16.89957046508789
visa,chewinggum,8,1,loio_conformal,5,14.637083053588867
visa,chewinggum,8,1,loio_conformal,6,15.475790977478027
visa,chewinggum,8,1,loio_conformal,7,15.495244026184082
visa,chewinggum,8,2,loio_conformal,0,13.499429702758789
visa,chewinggum,8,2,loio_conformal,1,16.553749084472656
visa,chewinggum,8,2,loio_conformal,2,16.606101989746094
visa,chewinggum,8,2,loio_conformal,3,14.006734848022461
visa,chewinggum,8,2,loio_conformal,4,13.311312675476074
visa,chewinggum,8,2,loio_conformal,5,14.691888809204102
visa,chewinggum,8,2,loio_conformal,6,14.246720314025879
visa,chewinggum,8,2,loio_conformal,7,17.985004425048828
visa,chewinggum,8,3,loio_conformal,0,13.244887351989746
visa,chewinggum,8,3,loio_conformal,1,14.794014930725098
visa,chewinggum,8,3,loio_conformal,2,14.032227516174316
visa,chewinggum,8,3,loio_conformal,3,12.77903938293457
visa,chewinggum,8,3,loio_conformal,4,16.789573669433594
visa,chewinggum,8,3,loio_conformal,5,13.878424644470215
visa,chewinggum,8,3,loio_conformal,6,12.6759033203125
visa,chewinggum,8,3,loio_conformal,7,15.284649848937988
visa,chewinggum,8,4,loio_conformal,0,15.399145126342773
visa,chewinggum,8,4,loio_conformal,1,14.312906265258789
visa,chewinggum,8,4,loio_conformal,2,14.25286865234375
visa,chewinggum,8,4,loio_conformal,3,16.013301849365234
visa,chewinggum,8,4,loio_conformal,4,14.240464210510254
visa,chewinggum,8,4,loio_conformal,5,18.65078353881836
visa,chewinggum,8,4,loio_conformal,6,15.70683479309082
visa,chewinggum,8,4,loio_conformal,7,17.41514778137207
visa,fryum,1,0,patch_split_conformal,0,10.987625122070312
visa,fryum,1,1,patch_split_conformal,0,10.889638900756836
visa,fryum,1,2,patch_split_conformal,0,10.684569358825684
visa,fryum,1,3,patch_split_conformal,0,12.135611534118652
visa,fryum,1,4,patch_split_conformal,0,10.790797233581543
visa,fryum,2,0,loio_conformal,0,19.30686378479004
visa,fryum,2,0,loio_conformal,1,19.704448699951172
visa,fryum,2,1,loio_conformal,0,19.099674224853516
visa,fryum,2,1,loio_conformal,1,17.537202835083008
visa,fryum,2,2,loio_conformal,0,16.82064437866211
visa,fryum,2,2,loio_conformal,1,16.329809188842773
