dataset,class,k_shot,seed,support_calibration_mode,support_cal_median,support_cal_mad,support_cal_q25,support_cal_q75,support_cal_mean,support_cal_std,support_cal_count
visa,capsules,4,2,loio_conformal,14.947015285491943,1.2474465370178223,13.955499649047852,18.012435913085938,17.020920276641846,4.692403199867457,4
visa,capsules,4,3,loio_conformal,16.694060802459717,3.023613452911377,13.806652069091797,19.292814254760742,16.405405521392822,3.514305666942077,4
visa,capsules,4,4,loio_conformal,15.92283582687378,1.9135432243347168,14.74731969833374,17.520614624023438,16.3450984954834,3.039391687909029,4
visa,capsules,8,0,loio_conformal,12.738361358642578,0.6347270011901855,12.406127452850342,14.340227603912354,13.874579429626465,2.38018073434193,8
visa,capsules,8,1,loio_conformal,14.962424278259277,1.4451031684875488,13.428065299987793,15.878089427947998,14.659361362457275,1.665286545987628,8
visa,capsules,8,2,loio_conformal,13.904437065124512,1.230433464050293,13.193856954574585,15.670384168624878,15.510846138000488,4.007608433856314,8
visa,capsules,8,3,loio_conformal,14.040934085845947,1.1563830375671387,13.195024967193604,15.88506531715393,14.868453741073608,2.744948499408359,8
visa,capsules,8,4,loio_conformal,14.072536945343018,1.0107064247131348,13.595364332199097,15.298712730407715,14.292817831039429,1.1702022598813742,8
visa,cashew,1,0,patch_split_conformal,10.558572769165039,0.0,10.558572769165039,10.558572769165039,10.558572769165039,0.0,1
visa,cashew,1,1,patch_split_conformal,12.753143310546875,0.0,12.753143310546875,12.753143310546875,12.753143310546875,0.0,1
visa,cashew,1,2,patch_split_conformal,11.446380615234375,0.0,11.446380615234375,11.446380615234375,11.446380615234375,0.0,1
visa,cashew,1,3,patch_split_conformal,13.051393508911133,0.0,13.051393508911133,13.051393508911133,13.051393508911133,0.0,1
visa,cashew,1,4,patch_split_conformal,11.499361991882324,0.0,11.499361991882324,11.499361991882324,11.499361991882324,0.0,1
visa,cashew,2,0,loio_conformal,18.13883113861084,0.8669919967651367,17.70533514022827,18.572327136993408,18.13883113861084,0.8669919967651367,2
visa,cashew,2,1,loio_conformal,19.170801162719727,1.2206268310546875,18.560487747192383,19.78111457824707,19.170801162719727,1.2206268310546875,2
visa,cashew,2,2,loio_conformal,21.803513526916504,0.3562898635864258,21.62536859512329,21.981658458709717,21.803513526916504,0.3562898635864258,2
visa,cashew,2,3,loio_conformal,18.887398719787598,0.4613828659057617,18.656707286834717,19.11809015274048,18.887398719787598,0.4613828659057617,2
visa,cashew,2,4,loio_conformal,17.456897735595703,1.355499267578125,16.77914810180664,18.134647369384766,17.456897735595703,1.355499267578125,2
visa,cashew,4,0,loio_conformal,16.17803382873535,0.5344467163085938,15.77403450012207,16.601287841796875,16.197288513183594,0.6208379047072534,4
visa,cashew,4,1,loio_conformal,17.178845405578613,0.5003194808959961,16.85122299194336,17.55684232711792,17.229219913482666,0.6800252044405681,4
visa,cashew,4,2,loio_conformal,16.166791439056396,1.1206870079040527,15.101711750030518,17.56680393218994,16.501724243164062,1.558863868421569,4
visa,cashew,4,3,loio_conformal,17.149118423461914,0.2275991439819336,16.906209468841553,17.293575763702393,17.05066680908203,0.4313775087983412,4
visa,cashew,4,4,loio_conformal,16.090240478515625,0.32858848571777344,15.634212732315063,16.416505813598633,15.960478067398071,0.49496417035412155,4
