dataset,class,k_shot,seed,support_calibration_mode,residual_index,loio_residual
mvtec,capsule,8,1,loio_conformal,3,18.261337280273438
mvtec,capsule,8,1,loio_conformal,4,13.589472770690918
mvtec,capsule,8,1,loio_conformal,5,16.872961044311523
mvtec,capsule,8,1,loio_conformal,6,16.09994125366211
mvtec,capsule,8,1,loio_conformal,7,17.647491455078125
mvtec,capsule,8,2,loio_conformal,0,14.719549179077148
mvtec,capsule,8,2,loio_conformal,1,24.608800888061523
mvtec,capsule,8,2,loio_conformal,2,14.204317092895508
mvtec,capsule,8,2,loio_conformal,3,14.996125221252441
mvtec,capsule,8,2,loio_conformal,4,16.776657104492188
mvtec,capsule,8,2,loio_conformal,5,15.605237007141113
mvtec,capsule,8,2,loio_conformal,6,18.95712661743164
mvtec,capsule,8,2,loio_conformal,7,17.695268630981445
mvtec,capsule,8,3,loio_conformal,0,16.468524932861328
mvtec,capsule,8,3,loio_conformal,1,21.071916580200195
mvtec,capsule,8,3,loio_conformal,2,20.108861923217773
mvtec,capsule,8,3,loio_conformal,3,14.042222023010254
mvtec,capsule,8,3,loio_conformal,4,14.64081859588623
mvtec,capsule,8,3,loio_conformal,5,15.533721923828125
mvtec,capsule,8,3,loio_conformal,6,14.065739631652832
mvtec,capsule,8,3,loio_conformal,7,16.924304962158203
mvtec,capsule,8,4,loio_conformal,0,13.567975044250488
mvtec,capsule,8,4,loio_conformal,1,16.153766632080078
mvtec,capsule,8,4,loio_conformal,2,16.46981430053711
mvtec,capsule,8,4,loio_conformal,3,15.82409954071045
mvtec,capsule,8,4,loio_conformal,4,15.386954307556152
mvtec,capsule,8,4,loio_conformal,5,14.335624694824219
mvtec,capsule,8,4,loio_conformal,6,17.881332397460938
mvtec,capsule,8,4,loio_conformal,7,19.458545684814453
mvtec,carpet,1,0,patch_split_conformal,0,7.38969087600708
mvtec,carpet,1,1,patch_split_conformal,0,7.356245517730713
mvtec,carpet,1,2,patch_split_conformal,0,7.009021282196045
mvtec,carpet,1,3,patch_split_conformal,0,9.931962966918945
mvtec,carpet,1,4,patch_split_conformal,0,6.686068058013916
mvtec,carpet,2,0,loio_conformal,0,9.138916015625
mvtec,carpet,2,0,loio_conformal,1,10.584263801574707
mvtec,carpet,2,1,loio_conformal,0,9.263101577758789
mvtec,carpet,2,1,loio_conformal,1,10.796147346496582
mvtec,carpet,2,2,loio_conformal,0,11.665078163146973
mvtec,carpet,2,2,loio_conformal,1,11.738304138183594
mvtec,carpet,2,3,loio_conformal,0,9.985536575317383
mvtec,carpet,2,3,loio_conformal,1,10.640664100646973
mvtec,carpet,2,4,loio_conformal,0,10.127738952636719
mvtec,carpet,2,4,loio_conformal,1,9.563920021057129
mvtec,carpet,4,0,loio_conformal,0,8.841961860656738
mvtec,carpet,4,0,loio_conformal,1,9.234854698181152
mvtec,carpet,4,0,loio_conformal,2,9.296777725219727
mvtec,carpet,4,0,loio_conformal,3,10.318839073181152
mvtec,carpet,4,1,loio_conformal,0,9.400158882141113
mvtec,carpet,4,1,loio_conformal,1,9.058902740478516
mvtec,carpet,4,1,loio_conformal,2,8.598346710205078
mvtec,carpet,4,1,loio_conformal,3,10.016729354858398
mvtec,carpet,4,2,loio_conformal,0,10.391815185546875
mvtec,carpet,4,2,loio_conformal,1,8.273831367492676
mvtec,carpet,4,2,loio_conformal,2,9.574471473693848
mvtec,carpet,4,2,loio_conformal,3,14.362350463867188
mvtec,carpet,4,3,loio_conformal,0,10.820000648498535
mvtec,carpet,4,3,loio_conformal,1,8.96037483215332
mvtec,carpet,4,3,loio_conformal,2,9.013819694519043
mvtec,carpet,4,3,loio_conformal,3,9.957791328430176
mvtec,carpet,4,4,loio_conformal,0,8.878586769104004
mvtec,carpet,4,4,loio_conformal,1,8.817098617553711
mvtec,carpet,4,4,loio_conformal,2,9.012990951538086
mvtec,carpet,4,4,loio_conformal,3,9.12462329864502
mvtec,carpet,8,0,loio_conformal,0,7.95171594619751
mvtec,carpet,8,0,loio_conformal,1,8.465253829956055
mvtec,carpet,8,0,loio_conformal,2,8.559540748596191
mvtec,carpet,8,0,loio_conformal,3,8.718061447143555
mvtec,carpet,8,0,loio_conformal,4,9.273514747619629
mvtec,carpet,8,0,loio_conformal,5,9.19632625579834
mvtec,carpet,8,0,loio_conformal,6,10.488176345825195
mvtec,carpet,8,0,loio_conformal,7,10.087769508361816
mvtec,carpet,8,1,loio_conformal,0,8.219358444213867
mvtec,carpet,8,1,loio_conformal,1,8.382616996765137
mvtec,carpet,8,1,loio_conformal,2,9.20317268371582
mvtec,carpet,8,1,loio_conformal,3,8.85330867767334
mvtec,carpet,8,1,loio_conformal,4,7.8375420570373535
mvtec,carpet,8,1,loio_conformal,5,8.924189567565918
mvtec,carpet,8,1,loio_conformal,6,8.019662857055664
mvtec,carpet,8,1,loio_conformal,7,10.21069049835205
mvtec,carpet,8,2,loio_conformal,0,9.192900657653809
mvtec,carpet,8,2,loio_conformal,1,10.298219680786133
mvtec,carpet,8,2,loio_conformal,2,8.02708911895752
mvtec,carpet,8,2,loio_conformal,3,9.578997611999512
mvtec,carpet,8,2,loio_conformal,4,7.872946262359619
mvtec,carpet,8,2,loio_conformal,5,8.702621459960938
mvtec,carpet,8,2,loio_conformal,6,13.217527389526367
mvtec,carpet,8,2,loio_conformal,7,8.845449447631836
mvtec,carpet,8,3,loio_conformal,0,9.34772777557373
mvtec,carpet,8,3,loio_conformal,1,9.734360694885254
mvtec,carpet,8,3,loio_conformal,2,8.73554801940918
mvtec,carpet,8,3,loio_conformal,3,11.201078414916992
mvtec,carpet,8,3,loio_conformal,4,10.615199089050293
mvtec,carpet,8,3,loio_conformal,5,12.855295181274414
mvtec,carpet,8,3,loio_conformal,6,8.904476165771484
mvtec,carpet,8,3,loio_conformal,7,9.076373100280762
mvtec,carpet,8,4,loio_conformal,0,8.657476425170898
mvtec,carpet,8,4,loio_conformal,1,8.697218894958496
mvtec,carpet,8,4,loio_conformal,2,8.945708274841309
mvtec,carpet,8,4,loio_conformal,3,8.594559669494629
mvtec,carpet,8,4,loio_conformal,4,16.544803619384766
mvtec,carpet,8,4,loio_conformal,5,7.887070178985596
mvtec,carpet,8,4,loio_conformal,6,9.975407600402832
mvtec,carpet,8,4,loio_conformal,7,8.847432136535645
mvtec,grid,1,0,patch_split_conformal,0,7.459354877471924
mvtec,grid,1,1,patch_split_conformal,0,8.399401664733887
